,id_title,protagonists
249,44,Jang Hye-jin
250,45,Matt Damon
251,45,Christian Bale
252,45,Jon Bernthal
253,45,Caitríona Balfe
254,45,Tracy Letts
255,45,Josh Lucas
256,46,Sin datos
257,47,Maria Dizzia
258,47,Greg Keller
259,47,Juliana Canfield
260,48,Saoirse Ronan
261,48,Emma Watson
262,48,Florence Pugh
263,48,Eliza Scanlen
264,48,Laura Dern
265,48,Timothée Chalamet
266,48,Meryl Streep
267,48,Tracy Letts
268,48,Bob Odenkirk
269,48,James Norton
270,48,Louis Garrel
271,48,Chris Cooper
272,49,Scarlett Johansson
273,49,Adam Driver
274,49,Laura Dern
275,49,Alan Alda
276,49,Ray Liotta
277,49,Julie Hagerty
278,49,Merritt Wever
279,50,Roman Griffin Davis
280,50,Thomasin McKenzie
281,50,Taika Waititi
282,50,Rebel Wilson
283,50,Stephen Merchant
284,50,Alfie Allen
285,50,Sam Rockwell
286,50,Scarlett Johansson
287,51,Tom Hanks
288,51,Tim Allen
289,51,Annie Potts
290,51,Tony Hale
291,51,Keegan-Michael Key
292,51,Jordan Peele
293,51,Madeleine McGraw
294,51,Christina Hendricks
295,51,Keanu Reeves
296,51,Ally Maki
297,51,Jay Hernandez
298,51,Lori Alan
299,51,Joan Cusack
300,52,Joaquin Phoenix
301,52,Robert De Niro
302,52,Zazie Beetz
303,52,Frances Conroy
304,53,Leonardo DiCaprio
305,53,Brad Pitt
306,53,Margot Robbie
307,53,Emile Hirsch
308,53,Margaret Qualley
309,53,Timothy Olyphant
310,53,Austin Butler
311,53,Dakota Fanning
312,53,Bruce Dern
313,53,Al Pacino
314,54,George MacKay
315,54,Dean-Charles Chapman
316,54,Mark Strong
317,54,Andrew Scott
318,54,Richard Madden
319,54,Colin Firth
320,54,Benedict Cumberbatch
321,55,Renée Zellweger
322,55,Finn Wittrock
323,55,Jessie Buckley
324,55,Rufus Sewell
325,55,Michael Gambon
326,56,Charlize Theron
327,56,Nicole Kidman
328,56,John Lithgow
329,56,Kate McKinnon
330,56,Connie Britton
331,56,Malcolm McDowell
332,56,Allison Janney
333,56,Margot Robbie
334,57,Taron Egerton
335,57,Jamie Bell
336,57,Richard Madden
337,57,Bryce Dallas Howard
338,58,Sin datos
339,59,Issa Rae
340,60,Viggo Mortensen
341,60,Mahershala Ali
342,60,Linda Cardellini
343,61,Rami Malek
344,61,Lucy Boynton
345,61,Gwilym Lee
346,61,Ben Hardy
347,61,Joe Mazzello
348,61,Aidan Gillen
349,61,Tom Hollander
350,61,Mike Myers
351,62,Yalitza Aparicio
352,62,Marina de Tavira
353,62,Jorge Antonio Guerrero
354,63,Chadwick Boseman
355,63,Michael B. Jordan
356,63,Lupita Nyong'o
357,63,Danai Gurira
358,63,Martin Freeman
359,63,Daniel Kaluuya
360,63,Letitia Wright
361,63,Winston Duke
362,63,Sterling K. Brown
363,63,Angela Bassett
364,63,Forest Whitaker
365,63,Andy Serkis
366,64,Olivia Colman
367,64,Emma Stone
368,64,Rachel Weisz
369,65,Bradley Cooper
370,65,Lady Gaga
371,65,Andrew Dice Clay
372,65,Dave Chappelle
373,65,Sam Elliott
374,66,Christian Bale
375,66,Amy Adams
376,66,Steve Carell
377,66,Tyler Perry
378,66,Alison Pill
379,66,Lily Rabe
380,66,Jesse Plemons
381,66,Sam Rockwell
382,67,John David Washington
383,67,Adam Driver
384,67,Laura Harrier
385,67,Topher Grace
386,68,Ryan Gosling
387,68,Claire Foy
388,68,Jason Clarke
389,68,Kyle Chandler
390,68,Corey Stoll
391,68,Christopher Abbott
392,68,Ciarán Hinds
393,69,KiKi Layne
394,69,Stephan James
395,69,Colman Domingo
396,69,Teyonah Parris
397,69,Michael Beach
398,69,Dave Franco
399,69,Diego Luna
400,69,Pedro Pascal
401,69,Ed Skrein
402,69,Brian Tyree Henry
403,69,Regina King
404,70,Sin datos
405,71,Alex Honnold
406,71,Sanni Mccandless
407,71,Jimmy Chin
408,71,Tommy Caldwell
409,72,Arunachalam Muruganantham
410,73,Danielle Macdonald
411,73,Jackson Robert
412,73,Jonathan Tucker
413,73,Ashley Thomas
414,73,Lonnie Chavis
415,74,Shameik Moore
416,74,Jake Johnson
417,74,Hailee Steinfeld
418,74,Mahershala Ali
419,74,Brian Tyree Henry
420,74,Lily Tomlin
421,74,Luna Lauren Vélez
422,74,John Mulaney
423,74,Kimiko Glenn
424,74,Nicolas Cage
425,74,Liev Schreiber
426,75,Sally Hawkins
427,75,Michael Shannon
428,75,Richard Jenkins
429,75,Doug Jones
430,75,Michael Stuhlbarg
431,75,Octavia Spencer
432,76,Fionn Whitehead
433,76,Tom Glynn-Carney
434,76,Jack Lowden
435,76,Harry Styles
436,76,Aneurin Barnard
437,76,James D'Arcy
438,76,Barry Keoghan
439,76,Kenneth Branagh
440,76,Cillian Murphy
441,76,Mark Rylance
442,76,Tom Hardy
443,77,Frances McDormand
444,77,Woody Harrelson
445,77,Sam Rockwell
446,77,John Hawkes
447,77,Peter Dinklage
448,78,Gary Oldman
449,78,Kristin Scott Thomas
450,78,Lily James
451,78,Stephen Dillane
452,78,Ronald Pickup
453,78,Ben Mendelsohn
454,79,Ryan Gosling
455,79,Harrison Ford
456,79,Ana de Armas
457,79,Sylvia Hoeks
458,79,Robin Wright
459,79,Mackenzie Davis
460,79,Carla Juri
461,79,Lennie James
462,79,Dave Bautista
463,79,Jared Leto
464,80,Anthony Gonzalez
465,80,Gael García Bernal
466,80,Benjamin Bratt
467,80,Alanna Ubach
468,80,Renée Victor
469,80,Ana Ofelia Murguía
470,80,Edward James Olmos
471,81,Daniel Day-Lewis
472,81,Lesley Manville
473,81,Vicky Krieps
474,82,Armie Hammer
475,82,Timothée Chalamet
476,82,Michael Stuhlbarg
477,82,Amira Casar
478,82,Esther Garrel
479,82,Victoire Du Bois
480,83,Daniel Kaluuya
481,83,Allison Williams
482,83,Bradley Whitford
483,83,Caleb Landry Jones
484,83,Stephen Root
485,83,Catherine Keener
486,84,Margot Robbie
487,84,Sebastian Stan
488,84,Julianne Nicholson
489,84,Bobby Cannavale
490,84,Allison Janney
491,85,Sin datos
492,86,Daniela Vega
493,86,Francisco Reyes
494,87,Mindy Alper
495,88,Sin datos
496,89,Rachel Shenton
497,89,Maisie Sly
498,89,Rachel Fielding
499,89,Philip York
500,90,Sin datos
501,91,Trevante Rhodes
502,91,André Holland
503,91,Janelle Monáe
504,91,Ashton Sanders
505,91,Jharrel Jerome
506,91,Naomie Harris
507,91,Mahershala Ali
508,92,Ryan Gosling
509,92,Emma Stone
510,92,John Legend
511,92,Rosemarie DeWitt
512,92,Finn Wittrock
513,92,J. K. Simmons
514,93,Andrew Garfield
515,93,Sam Worthington
516,93,Luke Bracey
517,93,Teresa Palmer
518,93,Hugo Weaving
